ID,orderDate,status,customer_ID,totalAmount,currency,notes
c3d4e5f6-0003-4000-8000-000000000001,2024-01-08,Delivered,a1b2c3d4-0001-4000-8000-000000000001,1349.97,USD,Express delivery requested
c3d4e5f6-0003-4000-8000-000000000002,2024-01-15,Delivered,a1b2c3d4-0001-4000-8000-000000000002,22500.00,EUR,Freight forwarding via Hamburg
c3d4e5f6-0003-4000-8000-000000000003,2024-01-22,Cancelled,a1b2c3d4-0001-4000-8000-000000000003,599.95,USD,Customer cancelled - out of stock
c3d4e5f6-0003-4000-8000-000000000004,2024-02-01,Delivered,a1b2c3d4-0001-4000-8000-000000000004,898.50,JPY,Air freight Tokyo warehouse
c3d4e5f6-0003-4000-8000-000000000005,2024-02-10,Delivered,a1b2c3d4-0001-4000-8000-000000000005,1099.90,BRL,DDP Incoterms
c3d4e5f6-0003-4000-8000-000000000006,2024-02-18,Processing,a1b2c3d4-0001-4000-8000-000000000006,449.99,CHF,Priority handling
c3d4e5f6-0003-4000-8000-000000000007,2024-02-25,Shipped,a1b2c3d4-0001-4000-8000-000000000007,779.94,USD,Partial shipment - chairs back-ordered
c3d4e5f6-0003-4000-8000-000000000008,2024-03-05,Delivered,a1b2c3d4-0001-4000-8000-000000000008,189.00,INR,Customs clearance completed
c3d4e5f6-0003-4000-8000-000000000009,2024-03-12,On Hold,a1b2c3d4-0001-4000-8000-000000000009,1259.85,NOK,Credit limit review pending
c3d4e5f6-0003-4000-8000-000000000010,2024-03-20,Delivered,a1b2c3d4-0001-4000-8000-000000000010,639.90,AUD,Standard delivery
c3d4e5f6-0003-4000-8000-000000000011,2024-04-02,Delivered,a1b2c3d4-0001-4000-8000-000000000011,270.00,ZAR,FOB Cape Town
c3d4e5f6-0003-4000-8000-000000000012,2024-04-09,Processing,a1b2c3d4-0001-4000-8000-000000000012,1098.00,CAD,Consolidation order
c3d4e5f6-0003-4000-8000-000000000013,2024-04-15,Shipped,a1b2c3d4-0001-4000-8000-000000000013,897.49,AED,Dubai port delivery
c3d4e5f6-0003-4000-8000-000000000014,2024-04-22,Delivered,a1b2c3d4-0001-4000-8000-000000000014,718.99,KRW,Sea freight Busan
c3d4e5f6-0003-4000-8000-000000000015,2024-05-03,Cancelled,a1b2c3d4-0001-4000-8000-000000000015,549.00,EUR,Duplicate order - cancelled by customer
c3d4e5f6-0003-4000-8000-000000000016,2024-05-10,Delivered,a1b2c3d4-0001-4000-8000-000000000016,440.00,EUR,Pallet delivery
c3d4e5f6-0003-4000-8000-000000000017,2024-05-18,Shipped,a1b2c3d4-0001-4000-8000-000000000017,609.87,MXN,Road transport to CDMX
c3d4e5f6-0003-4000-8000-000000000018,2024-05-25,Delivered,a1b2c3d4-0001-4000-8000-000000000018,958.00,SGD,Singapore customs cleared
c3d4e5f6-0003-4000-8000-000000000019,2024-06-04,On Hold,a1b2c3d4-0001-4000-8000-000000000019,384.80,PLN,Payment verification required
c3d4e5f6-0003-4000-8000-000000000020,2024-06-11,Delivered,a1b2c3d4-0001-4000-8000-000000000020,672.00,TRY,Sea freight Istanbul
c3d4e5f6-0003-4000-8000-000000000021,2024-06-20,Processing,a1b2c3d4-0001-4000-8000-000000000001,2249.85,USD,Quarterly bulk order
c3d4e5f6-0003-4000-8000-000000000022,2024-07-01,Shipped,a1b2c3d4-0001-4000-8000-000000000003,898.00,GBP,Urgent air freight
c3d4e5f6-0003-4000-8000-000000000023,2024-07-08,Delivered,a1b2c3d4-0001-4000-8000-000000000005,1499.50,BRL,New supplier agreement
c3d4e5f6-0003-4000-8000-000000000024,2024-07-15,Processing,a1b2c3d4-0001-4000-8000-000000000007,449.99,USD,Rush order - factory shutdown imminent
c3d4e5f6-0003-4000-8000-000000000025,2024-07-22,Delivered,a1b2c3d4-0001-4000-8000-000000000009,254.90,NOK,Maintenance parts
c3d4e5f6-0003-4000-8000-000000000026,2024-08-05,Cancelled,a1b2c3d4-0001-4000-8000-000000000011,319.00,USD,Budget freeze
c3d4e5f6-0003-4000-8000-000000000027,2024-08-12,Shipped,a1b2c3d4-0001-4000-8000-000000000013,1649.95,AED,Oil and gas sector client
c3d4e5f6-0003-4000-8000-000000000028,2024-08-19,Delivered,a1b2c3d4-0001-4000-8000-000000000015,299.00,EUR,Office refurbishment
c3d4e5f6-0003-4000-8000-000000000029,2024-09-02,On Hold,a1b2c3d4-0001-4000-8000-000000000017,1199.76,MXN,Customs hold at border
c3d4e5f6-0003-4000-8000-000000000030,2024-09-10,Processing,a1b2c3d4-0001-4000-8000-000000000020,336.00,TRY,End-of-year stock replenishment
