ID,name,email,phone,address,country
a1b2c3d4-0001-4000-8000-000000000001,Acme Corp,contact@acme.com,+1-212-555-0101,123 Broadway New York NY 10001,USA
a1b2c3d4-0001-4000-8000-000000000002,Global Trade GmbH,info@globaltrade.de,+49-30-555-0102,Unter den Linden 10 10117 Berlin,Germany
a1b2c3d4-0001-4000-8000-000000000003,Pacific Supplies Ltd,sales@pacificsupplies.co.uk,+44-20-7946-0103,42 Oxford Street London W1D 1BS,United Kingdom
a1b2c3d4-0001-4000-8000-000000000004,Sakura Electronics,support@sakura-elec.jp,+81-3-5555-0104,1-1 Marunouchi Chiyoda Tokyo 100-0005,Japan
a1b2c3d4-0001-4000-8000-000000000005,Rio Mercado SA,ventas@riomercado.com.br,+55-21-3333-0105,Av Atlantica 500 Rio de Janeiro RJ 22010-000,Brazil
a1b2c3d4-0001-4000-8000-000000000006,Alpine Solutions AG,kontakt@alpine-solutions.ch,+41-44-555-0106,Bahnhofstrasse 20 8001 Zurich,Switzerland
a1b2c3d4-0001-4000-8000-000000000007,Midwest Manufacturing Inc,orders@midwestmfg.com,+1-312-555-0107,500 W Madison St Chicago IL 60661,USA
a1b2c3d4-0001-4000-8000-000000000008,Chennai Tech Services,info@chennaitech.in,+91-44-5555-0108,10 Anna Salai Chennai Tamil Nadu 600002,India
a1b2c3d4-0001-4000-8000-000000000009,Nordics Trading AS,post@nordics-trading.no,+47-22-55-0109,Karl Johans gate 25 0159 Oslo,Norway
a1b2c3d4-0001-4000-8000-000000000010,Sydney Imports Pty,hello@sydneyimports.com.au,+61-2-5555-0110,200 George Street Sydney NSW 2000,Australia
a1b2c3d4-0001-4000-8000-000000000011,Cape Distributors,orders@capedist.co.za,+27-21-555-0111,15 Long Street Cape Town 8001,South Africa
a1b2c3d4-0001-4000-8000-000000000012,Maple Leaf Goods,sales@mapleleafgoods.ca,+1-416-555-0112,100 King Street West Toronto ON M5X 1A9,Canada
a1b2c3d4-0001-4000-8000-000000000013,Dubai Commerce LLC,trade@dubaicommerce.ae,+971-4-555-0113,Sheikh Zayed Road Dubai 12345,United Arab Emirates
a1b2c3d4-0001-4000-8000-000000000014,Seoul Tech Co Ltd,contact@seoultech.kr,+82-2-5555-0114,123 Teheran-ro Gangnam-gu Seoul 06133,South Korea
a1b2c3d4-0001-4000-8000-000000000015,Barcelona Exports SL,info@barcelona-exports.es,+34-93-555-0115,Passeig de Gracia 55 08007 Barcelona,Spain
a1b2c3d4-0001-4000-8000-000000000016,Amsterdam Logistics BV,logistics@ams-logistics.nl,+31-20-555-0116,Dam Square 1 1012 JS Amsterdam,Netherlands
a1b2c3d4-0001-4000-8000-000000000017,Mexico City Trading SA,ventas@mctrading.com.mx,+52-55-5555-0117,Paseo de la Reforma 350 06600 Mexico City,Mexico
a1b2c3d4-0001-4000-8000-000000000018,Singapore Hub Pte,enquiry@sghub.com.sg,+65-6555-0118,1 Raffles Place Singapore 048616,Singapore
a1b2c3d4-0001-4000-8000-000000000019,Warsaw Enterprise Sp,biuro@warsaw-ent.pl,+48-22-555-0119,ul. Marszalkowska 1 00-624 Warsaw,Poland
a1b2c3d4-0001-4000-8000-000000000020,Istanbul Traders AS,info@istanbul-traders.com.tr,+90-212-555-0120,Istiklal Caddesi 100 34430 Istanbul,Turkey
