ID,name,description,category,price,currency,stock
b2c3d4e5-0002-4000-8000-000000000001,Industrial Air Compressor 50L,Heavy-duty 50-litre oil-free air compressor for workshop use. 2.5 HP motor.,Machinery,449.99,USD,120
b2c3d4e5-0002-4000-8000-000000000002,Ergonomic Office Chair,Adjustable lumbar support mesh chair with armrests and 5-year warranty.,Furniture,299.00,USD,350
b2c3d4e5-0002-4000-8000-000000000003,4K Ultra HD Monitor 27in,27-inch IPS panel 4K UHD monitor with USB-C and HDR400 support.,Electronics,599.95,USD,210
b2c3d4e5-0002-4000-8000-000000000004,Stainless Steel Mixing Bowl Set,Set of 5 nested stainless steel mixing bowls with lids. BPA-free.,Kitchen,54.99,USD,800
b2c3d4e5-0002-4000-8000-000000000005,Safety Helmet EN 397,Industrial hard hat compliant with EN 397. Available in high-vis yellow.,Safety,18.50,EUR,2500
b2c3d4e5-0002-4000-8000-000000000006,Wireless Bluetooth Headset,Noise-cancelling over-ear headset with 30-hour battery life.,Electronics,149.00,USD,480
b2c3d4e5-0002-4000-8000-000000000007,Standing Desk Converter,Height-adjustable sit-stand converter for standard desktops. Holds up to 15 kg.,Furniture,189.00,USD,175
b2c3d4e5-0002-4000-8000-000000000008,Heavy-Duty Shelving Unit,Steel boltless shelving unit 5 tiers 200 kg per shelf capacity.,Storage,129.95,GBP,300
b2c3d4e5-0002-4000-8000-000000000009,Chemical Resistant Gloves (Pair),Nitrile gloves size L suitable for acids and solvents. Pack of 10 pairs.,Safety,22.00,EUR,5000
b2c3d4e5-0002-4000-8000-000000000010,Portable Label Printer,Thermal label printer supports QR codes and barcodes. USB + Bluetooth.,Office,89.00,USD,640
b2c3d4e5-0002-4000-8000-000000000011,Electric Forklift 2T,Electric reach forklift 2000 kg capacity 4.8 m lift height. Battery included.,Machinery,22500.00,EUR,12
b2c3d4e5-0002-4000-8000-000000000012,A4 Copy Paper 80gsm (Box),Box of 5 reams A4 white copy paper 80 gsm. 2500 sheets total.,Office,28.90,GBP,1200
b2c3d4e5-0002-4000-8000-000000000013,Industrial Digital Scale 150kg,Stainless steel platform scale 150 kg capacity 50 g resolution. IP67.,Machinery,319.00,USD,95
b2c3d4e5-0002-4000-8000-000000000014,Fire Extinguisher 6kg ABC,Dry powder ABC fire extinguisher 6 kg. Includes wall bracket.,Safety,45.00,EUR,700
b2c3d4e5-0002-4000-8000-000000000015,Laptop Stand Aluminium,Adjustable aluminium laptop stand 6 height levels. Compatible up to 17 inch.,Electronics,39.99,USD,920
b2c3d4e5-0002-4000-8000-000000000016,Hydraulic Hand Pallet Truck,Standard hand pallet truck 2500 kg capacity 1150 mm forks.,Storage,310.00,EUR,55
b2c3d4e5-0002-4000-8000-000000000017,Webcam Full HD 1080p,Full HD webcam with built-in stereo microphone and privacy shutter.,Electronics,69.00,USD,760
b2c3d4e5-0002-4000-8000-000000000018,First Aid Kit 50-Person,Comprehensive workplace first aid kit in wall-mounted cabinet.,Safety,79.50,GBP,230
b2c3d4e5-0002-4000-8000-000000000019,Toner Cartridge HP LaserJet,High-yield black toner for HP LaserJet Pro M404. 3500-page yield.,Office,72.00,USD,410
b2c3d4e5-0002-4000-8000-000000000020,Executive Desk 160cm,Executive office desk 160 x 80 cm walnut veneer with cable management.,Furniture,549.00,EUR,60
