ID,invoiceDate,dueDate,status,salesOrder_ID,amount,currency,notes
d4e5f6a7-0004-4000-8000-000000000001,2024-01-10,2024-02-09,Paid,c3d4e5f6-0003-4000-8000-000000000001,1349.97,USD,Wire transfer received
d4e5f6a7-0004-4000-8000-000000000002,2024-01-18,2024-02-17,Paid,c3d4e5f6-0003-4000-8000-000000000002,22500.00,EUR,Bank transfer confirmed
d4e5f6a7-0004-4000-8000-000000000003,2024-01-24,2024-02-23,Cancelled,c3d4e5f6-0003-4000-8000-000000000003,599.95,USD,Voided - order cancelled
d4e5f6a7-0004-4000-8000-000000000004,2024-02-05,2024-03-06,Paid,c3d4e5f6-0003-4000-8000-000000000004,898.50,JPY,Paid on time
d4e5f6a7-0004-4000-8000-000000000005,2024-02-15,2024-03-16,Paid,c3d4e5f6-0003-4000-8000-000000000005,1099.90,BRL,Early payment discount applied
d4e5f6a7-0004-4000-8000-000000000006,2024-02-20,2024-03-21,Open,c3d4e5f6-0003-4000-8000-000000000006,449.99,CHF,Awaiting approval
d4e5f6a7-0004-4000-8000-000000000007,2024-02-28,2024-03-29,Overdue,c3d4e5f6-0003-4000-8000-000000000007,779.94,USD,2nd reminder sent
d4e5f6a7-0004-4000-8000-000000000008,2024-03-08,2024-04-07,Paid,c3d4e5f6-0003-4000-8000-000000000008,189.00,INR,NEFT payment confirmed
d4e5f6a7-0004-4000-8000-000000000009,2024-03-15,2024-04-14,Open,c3d4e5f6-0003-4000-8000-000000000009,1259.85,NOK,On hold with order
d4e5f6a7-0004-4000-8000-000000000010,2024-03-22,2024-04-21,Paid,c3d4e5f6-0003-4000-8000-000000000010,639.90,AUD,Credit card payment
d4e5f6a7-0004-4000-8000-000000000011,2024-04-05,2024-05-05,Paid,c3d4e5f6-0003-4000-8000-000000000011,270.00,ZAR,EFT received
d4e5f6a7-0004-4000-8000-000000000012,2024-04-12,2024-05-12,Open,c3d4e5f6-0003-4000-8000-000000000012,1098.00,CAD,Net 30 terms
d4e5f6a7-0004-4000-8000-000000000013,2024-04-18,2024-05-18,Open,c3d4e5f6-0003-4000-8000-000000000013,897.49,AED,Awaiting goods receipt confirmation
d4e5f6a7-0004-4000-8000-000000000014,2024-04-25,2024-05-25,Paid,c3d4e5f6-0003-4000-8000-000000000014,718.99,KRW,Wire transfer completed
d4e5f6a7-0004-4000-8000-000000000015,2024-05-06,2024-06-05,Cancelled,c3d4e5f6-0003-4000-8000-000000000015,549.00,EUR,Voided per customer request
d4e5f6a7-0004-4000-8000-000000000016,2024-05-12,2024-06-11,Paid,c3d4e5f6-0003-4000-8000-000000000016,440.00,EUR,SEPA direct debit
d4e5f6a7-0004-4000-8000-000000000017,2024-05-20,2024-06-19,Overdue,c3d4e5f6-0003-4000-8000-000000000017,609.87,MXN,3rd reminder - escalated to collections
d4e5f6a7-0004-4000-8000-000000000018,2024-05-28,2024-06-27,Paid,c3d4e5f6-0003-4000-8000-000000000018,958.00,SGD,PayNow transfer confirmed
d4e5f6a7-0004-4000-8000-000000000019,2024-06-07,2024-07-07,Open,c3d4e5f6-0003-4000-8000-000000000019,384.80,PLN,Payment verification pending
d4e5f6a7-0004-4000-8000-000000000020,2024-06-14,2024-07-14,Paid,c3d4e5f6-0003-4000-8000-000000000020,672.00,TRY,Bank transfer received
d4e5f6a7-0004-4000-8000-000000000021,2024-06-22,2024-07-22,Open,c3d4e5f6-0003-4000-8000-000000000021,2249.85,USD,Net 30 - first payment due
d4e5f6a7-0004-4000-8000-000000000022,2024-07-04,2024-08-03,Overdue,c3d4e5f6-0003-4000-8000-000000000022,898.00,GBP,90 days overdue - legal review
d4e5f6a7-0004-4000-8000-000000000023,2024-07-10,2024-08-09,Paid,c3d4e5f6-0003-4000-8000-000000000023,1499.50,BRL,Pix instant payment
d4e5f6a7-0004-4000-8000-000000000024,2024-07-18,2024-08-17,Open,c3d4e5f6-0003-4000-8000-000000000024,449.99,USD,Awaiting PO approval
d4e5f6a7-0004-4000-8000-000000000025,2024-07-25,2024-08-24,Paid,c3d4e5f6-0003-4000-8000-000000000025,254.90,NOK,Bank transfer confirmed
d4e5f6a7-0004-4000-8000-000000000026,2024-08-08,2024-09-07,Cancelled,c3d4e5f6-0003-4000-8000-000000000026,319.00,USD,Order cancelled - invoice voided
d4e5f6a7-0004-4000-8000-000000000027,2024-08-15,2024-09-14,Open,c3d4e5f6-0003-4000-8000-000000000027,1649.95,AED,60-day payment terms
d4e5f6a7-0004-4000-8000-000000000028,2024-08-22,2024-09-21,Paid,c3d4e5f6-0003-4000-8000-000000000028,299.00,EUR,SEPA confirmed
d4e5f6a7-0004-4000-8000-000000000029,2024-09-05,2024-10-05,Overdue,c3d4e5f6-0003-4000-8000-000000000029,1199.76,MXN,Customs release delay - disputed
d4e5f6a7-0004-4000-8000-000000000030,2024-09-13,2024-10-13,Open,c3d4e5f6-0003-4000-8000-000000000030,336.00,TRY,Net 30 terms
